"Município";"Quantidade existente"
"241050 Rafael Fernandes";8
"240210 Campo Redondo";8
"160080 Vitória do Jari";8
"220560 Landri Sales";8
"240485 Itajá";8
"240190 Caiçara do Rio do Vento";8
"230435 Forquilha";8
"290030 Acajutiba";8
"241475 Venha-Ver";8
"171790 Ponte Alta do Tocantins";7
"230533 Ibicuitinga";7
"241255 São Miguel do Gostoso";7
"241310 Senador Elói de Souza";7
"251590 Serraria";7
"520790 Flores de Goiás";7
"290640 Candeal";7
"315810 Santa Maria do Salto";6
"241390 Taipu";6
"520310 Baliza";6
"250910 Mari";6
"240400 Frutuoso Gomes";6
"291077 Feira da Mata";6
"500580 Nioaque";6
"351260 Coronel Macedo";6
"290150 Anguera";6
"240880 Parazinho";6
"290135 Andorinha";6
"251385 Santo André";6
"290140 Angical";6
"510890 Nova Maringá";6
"351490 Elias Fausto";6
"510618 Nova Lacerda";6
"270880 São Sebastião";6
"171700 Pindorama do Tocantins";6
"292650 Ribeira do Amparo";5
"280760 Umbaúba";5
"293245 Umburanas";5
"250340 Cacimba de Areia";5
"292273 Nova Fátima";5
"290900 Cordeiros";5
"171360 Monte do Carmo";5
"261210 Salgadinho";5
"314100 Mato Verde";4
"261618 Vertente do Lério";4
"241270 São Pedro";4
"290485 Cabaceiras do Paraguaçu";4
"240960 Pedra Preta";4
"220170 Bertolínia";4
"260710 Ingazeira";4
"330540 Sapucaia";4
"250650 Gurjão";4
"270120 Cacimbinhas";3
"290689 Caraíbas";3
"270820 São Brás";3
"251420 São José da Lagoa Tapada";3
"410020 Adrianópolis";3
"250210 Boa Ventura";3
"270410 Lagoa da Canoa";3
"431115 Jóia";3
"240510 Jandaíra";3
"270300 Ibateguara";3
"240550 Jardim de Angicos";3
"410130 Antônio Olinto";2
"250080 Araçagi";2
"351480 Eldorado";2
"241025 Porto do Mangue";2
"291260 Ibiquera";2
"280580 Riachão do Dantas";1
"240540 Japi";1
"280140 Carira";1
"280230 Frei Paulo";1
"270910 Taquarana";1
"312235 Divisa Alegre";1
"290190 Aporá";1
"330410 Porciúncula";1
